ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET,TIME
43271,1,1,0,43,0,212005,172671,43
48282,1,1,0,43,0,158604,151387,43
2627,1,1,0,44,1,163374,59,44
40406,1,1,0,44,0,988,114077,44
21446,1,1,0,45,1,110502,163092,45
42751,1,1,0,45,0,167629,43611,45
22302,1,1,0,46,1,216749,231883,46
5898,1,1,0,47,1,215527,163405,47
17602,1,1,0,47,0,43394,158104,47
24454,1,1,0,47,0,216630,3068,47
27896,1,1,0,47,0,988,190620,47
35502,1,1,0,47,0,163413,2337,47
56747,1,1,0,47,0,137742,164751,47
61,1,1,0,48,1,132824,8221,48
13937,1,1,0,48,0,5568,159372,48
18621,1,1,0,48,0,233754,165631,48
19702,1,1,0,48,0,110502,4573,48
37484,1,1,0,48,0,5522,215527,48
42437,1,1,0,48,0,238381,804,48
51742,1,1,0,48,0,1873,12526,48
21165,1,1,0,49,1,215527,150727,49
4860,1,1,0,50,1,215527,43392,50
29535,1,1,0,50,0,215527,173130,50
37366,1,1,0,50,0,167629,163388,50
55424,1,1,0,50,0,215527,231850,50
7946,1,1,0,51,1,136875,7253,51
22767,1,1,0,51,0,230135,10460,51
8834,1,1,0,52,1,238381,137249,52
16374,1,1,0,52,0,166742,8967,52
34993,1,1,0,52,0,3674,216749,52
37796,1,1,0,52,0,45888,190855,52
51816,1,1,0,52,0,226133,115348,52
53852,1,1,0,52,0,162328,32259,52
413,1,1,0,53,1,215527,84480,53
21956,1,1,0,53,0,241140,8590,53
33716,1,1,0,53,0,162328,143935,53
46500,1,1,0,53,0,1217,173406,53
56347,1,1,0,53,0,167633,136941,53
5010,1,1,0,54,1,11344,163087,54
28471,1,1,0,54,0,22781,3068,54
31590,1,1,0,54,0,163959,4711,54
1101,1,1,0,55,1,167629,29636,55
51032,1,1,0,57,2,238381,219418,57
54065,1,1,0,57,0,9432,162379,57
11704,1,1,0,58,1,213225,166726,58
15112,1,1,0,58,0,115672,163388,58
36799,1,1,0,58,0,216756,159149,58
331,1,1,0,59,1,187,219384,59
16739,1,1,0,59,0,215527,66172,59
18852,1,1,0,59,0,235617,225711,59
52078,1,1,0,59,0,123483,201509,59
29536,1,1,1,0,1,235273,162512,60
41256,1,1,1,0,0,10658,238895,60
62,1,1,1,1,1,216749,6337,61
28774,1,1,1,1,0,115672,162102,61
35603,1,1,1,1,0,163575,6356,61
8414,1,1,1,2,1,147810,138360,62
22904,1,1,1,2,0,215527,138082,62
28319,1,1,1,2,0,122831,11073,62
33217,1,1,1,2,0,216749,163819,62
4725,1,1,1,3,1,216749,199281,63
25437,1,1,1,3,0,167629,1089,63
43560,1,1,1,3,0,215527,6678,63
4971,1,1,1,4,1,161866,151472,64
37960,1,1,1,4,0,238381,239448,64
48283,1,1,1,4,0,163413,110502,64
30542,1,1,1,5,1,24377,186849,65
40024,1,1,1,5,0,219125,42651,65
34995,1,1,1,6,1,161403,158316,66
17733,1,1,1,7,1,106686,110502,67
18293,1,1,1,7,0,158280,1942,67
35466,1,1,1,7,0,182191,238059,67
14617,1,1,1,8,1,235548,219384,68
29410,1,1,1,8,0,9377,190464,68
36800,1,1,1,8,0,9614,20447,68
1970,1,1,1,9,1,153085,216801,69
53953,1,1,1,9,0,163658,1027,69
43929,1,1,1,10,1,191292,2331,70
20151,1,1,1,11,1,216749,149375,71
24069,1,1,1,11,0,167629,215253,71
24526,1,1,1,11,0,5734,224765,71
32038,1,1,1,11,0,169760,163819,71
51819,1,1,1,11,0,216749,158104,71
52079,1,1,1,11,0,185774,170490,71
53266,1,1,1,11,0,7927,216753,71
30219,1,1,1,12,1,152035,175009,72
18136,1,1,1,13,1,216749,150516,73
26017,1,1,1,13,0,153168,222410,73
42154,1,1,1,13,0,215527,226625,73
43320,1,1,1,13,0,6861,39979,73
50841,1,1,1,13,0,4632,199229,73
33892,1,1,1,14,1,110502,110499,74
6925,1,1,1,15,1,215527,133582,75
13685,1,1,1,15,0,215527,241528,75
18755,1,1,1,15,0,9775,110502,75
54778,1,1,1,15,0,216749,216753,75
56688,1,1,1,15,0,215527,201509,75
4516,1,1,1,16,1,215527,4680,76
8212,1,1,1,16,0,110502,222306,76
11084,1,1,1,16,0,147083,7898,76
28884,1,1,1,16,0,190462,1908,76
55398,1,1,1,16,0,215527,213041,76
26407,1,1,1,17,1,231850,158606,77
34094,1,1,1,17,0,2319,216749,77
18855,1,1,1,18,1,162328,228803,78
21543,1,1,1,18,0,110502,238267,78
22592,1,1,1,18,0,216749,161466,78
46189,1,1,1,18,0,148203,238460,78
